indicator,ISO Country code,population,surface area (Km2),,GINI index,happy planet index,human development index,sustainable economic development assessment (SEDA),"GDP growth
(annual %)","GDP 
($ USD billions PPP)",GDP per capita in $ (PPP),Economic Growth,"health expenditure 
% of GDP","health expenditure 
per person",infant mortality,"maternal mortality per 100,000 live births","education expenditure
% of GDP",Education as % of GDP,% of primary school aged kids out of school,unemployment (%),% of population in extreme poverty,% of population with access to electricity,political rights score ,civil liberties score ,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,overall economic freedom score,financial freedom score,government expenditure (% of GDP),CO2e emissions per capita,share of electricity from renewables generation,% of seats held by women in national parliaments,Military Spending as % of GDP,lat,long
Afghanistan,AFG,36000000,652230,1.20%,0,29.40,0.478,0,1.5,75.6,2082,1.19,3.7,184,60.8,638,0,3.20,0,8.5,0,97.7,12,14,-2.78,-1.3,-1.3,-1.570,-1.52,28.20,26.20,51.30,10.00,26.30,0.16,86.1%,27.7,0,33.93911,67.709953
Albania,ALB,2900000,27398,1.30%,29.0,51.00,0.796,53.10,2.6,38.2,13498,4.02,3.05,774,2.4,15,3.10,0,2.56,16.3,0,100.0,28,40,0.4,0.1,0.2,-0.400,-0.42,25.40,39.90,64.50,70.00,30.10,1.69,100.0%,27.9,1.42%,41.153332,20.168331
Algeria,DZA,41000000,2381740,6.00%,35.3,46.50,0.745,45.80,3.7,491.1,11909,1.10,0,1031,11.6,112,6.10,5.87,0.35,11.2,0,99.8,10,25,-0.96,-0.6,-1.2,-0.860,-0.61,35.20,29.00,44.70,30.00,42.50,3.98,0.3%,25.8,5.59%,28.033886,1.659626
Angola,AGO,30000000,1246700,1.60%,42.7,0,0.586,28.40,3,215.1,7149,-1.32,3.12,196,8.8,241,2.42,2.04,0,6.6,11.9,46.9,10,16,-0.29,-1.0,-1.0,-1.100,-1.41,25.40,18.90,48.60,40.00,32.10,0.79,54.5%,38.2,1.13%,-11.202692,17.873887
Argentina,ARG,44000000,2736690,0.70%,41.7,50.00,0.842,57.30,1.2,1012.1,23291,-2.62,5.36,1390,9.7,39,4.72,4.88,0.40,6.6,0.3,100.0,33,50,0.18,0.2,-0.3,-0.250,-0.26,44.50,32.60,52.30,60.00,38.50,3.74,30.7%,38.9,0.57%,-38.416097,-63.616672
Armenia,ARM,3000000,28203,4.90%,31.5,54.70,0.759,51.70,3,37.5,13019,5.20,2.25,883,0,26,2.71,2.26,6.91,16.8,0.1,100.0,15,30,-0.71,-0.1,0.3,-0.160,-0.56,47.40,40.50,68.70,70.00,25.80,2.09,29.6%,18.1,4.44%,40.069099,45.038189
Australia,AUS,25000000,7682300,1.90%,30.3,43.10,0.951,78.90,2.5,1224.9,50169,2.87,5.16,4492,3.0,6,0,5.12,0.43,5.7,0.4,100.0,40,58,0.9,1.5,1.9,1.680,1.80,93.40,77.40,80.90,90.00,36.00,15.24,14.4%,28.7,1.98%,-25.274398,133.775136
Austria,AUT,9000000,82445,0.70%,30.5,46.80,0.916,80.30,0.9,488.5,56960,2.50,5.45,5138,17.3,5,0,5.22,0.04,6.1,0.5,100.0,37,57,1.04,1.5,1.4,1.810,1.53,80.90,73.50,71.80,70.00,51.80,7.29,80.0%,30.6,0.80%,47.516231,14.550072
Azerbaijan,AZE,10000000,82629,4.00%,33.7,48.00,0.745,51.1,1.1,141.2,14549,1.50,2.63,1191,38.6,26,2.68,2.46,3.89,5.1,0,100.0,3,9,-0.76,-0.2,-0.3,-0.560,-0.88,36.80,39.90,64.30,60.00,36.80,3.54,7.8%,16.8,5.27%,40.143105,47.576927
Bahamas,BHS,400000,10010,0,0,0,0.812,60.40,0.5,14,37066,1.83,2.5,1699,4.9,70,2.78,2.25,0,15.3,0,100.0,38,53,1,0.6,0.1,0.190,1.17,53.50,50.90,63.30,60.00,23.80,7.29,0.0%,12.8,0,25.03428,-77.39628
Bahrain,BHR,1300000,760,3.70%,0,33.60,0.875,63.90,3.2,72.8,47486,2.11,2.47,2453,10.5,14,2.15,2.37,1.04,1.3,0,100.0,2,10,-0.95,0.2,0.4,0.450,-0.14,55.10,51.80,67.70,80.00,33.40,20.27,1.3%,7.5,3.56%,26.0667,50.5577
Bangladesh,BGD,165000000,130170,1.30%,32.1,54.50,0.661,35.30,6.4,838.8,5322,7.32,0,88,5.1,173,1.33,0,0,4.1,0,96.2,19,26,-1.25,-0.7,-0.8,-0.670,-0.83,32.60,21.20,55.10,30.00,13.90,0.56,0,20.3,1.27%,23.684994,90.356331
